number,title,category,phase,priority,labels,dependencies,scope,description,deliverables,acceptance_criteria,status,closed_at,closed_by,closure_evidence,closure_validation
11,Define public API stability levels,Architecture,Foundation,P0,architecture;foundation;p0;codex-ready;design,,"Deliver a granular, testable increment for Architecture: Define public API stability levels.","Implement or specify `Define public API stability levels` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define public API stability levels | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define public API stability levels` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md | src/rietveld_next/core/architecture/ | docs/ground_truths.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
12,Implement feature flag registry,Architecture,Foundation,P0,architecture;foundation;p0;codex-ready;implementation,,"Deliver a granular, testable increment for Architecture: Implement feature flag registry.","Implement or specify `Implement feature flag registry` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement feature flag registry | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement feature flag registry` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md | src/rietveld_next/core/architecture/ | docs/ground_truths.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
13,Create source layout linter,Architecture,Foundation,P0,architecture;foundation;p0;codex-ready;design,,"Deliver a granular, testable increment for Architecture: Create source layout linter.","Implement or specify `Create source layout linter` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Create source layout linter | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Create source layout linter` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md | src/rietveld_next/core/architecture/ | docs/ground_truths.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
14,Define dependency boundary checks,Architecture,Foundation,P0,architecture;foundation;p0;codex-ready;design,,"Deliver a granular, testable increment for Architecture: Define dependency boundary checks.","Implement or specify `Define dependency boundary checks` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define dependency boundary checks | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define dependency boundary checks` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md | src/rietveld_next/core/architecture/ | docs/ground_truths.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
15,Create release artifact manifest,Architecture,Foundation,P0,architecture;foundation;p0;codex-ready;design,,"Deliver a granular, testable increment for Architecture: Create release artifact manifest.","Implement or specify `Create release artifact manifest` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Create release artifact manifest | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Create release artifact manifest` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md | src/rietveld_next/core/architecture/ | docs/ground_truths.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
16,Define Project entity,Core Data Model,Foundation,P0,core-data-model;foundation;p0;codex-ready;design,#1;#2,"Deliver a granular, testable increment for Core Data Model: Define Project entity.","Implement or specify `Define Project entity` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define Project entity | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define Project entity` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m02_completion_report.md | src/rietveld_next/core/model/ | src/rietveld_next/core/schema/ | schemas/project.schema.json,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core
17,Define Experiment entity,Core Data Model,Foundation,P0,core-data-model;foundation;p0;codex-ready;design,#1;#2,"Deliver a granular, testable increment for Core Data Model: Define Experiment entity.","Implement or specify `Define Experiment entity` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define Experiment entity | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define Experiment entity` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m02_completion_report.md | src/rietveld_next/core/model/ | src/rietveld_next/core/schema/ | schemas/project.schema.json,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core
18,Define Dataset entity,Core Data Model,Foundation,P0,core-data-model;foundation;p0;codex-ready;design,#1;#2,"Deliver a granular, testable increment for Core Data Model: Define Dataset entity.","Implement or specify `Define Dataset entity` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define Dataset entity | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define Dataset entity` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m02_completion_report.md | src/rietveld_next/core/model/ | src/rietveld_next/core/schema/ | schemas/project.schema.json,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core
19,Define Histogram entity,Core Data Model,Foundation,P0,core-data-model;foundation;p0;codex-ready;design,#1;#2,"Deliver a granular, testable increment for Core Data Model: Define Histogram entity.","Implement or specify `Define Histogram entity` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define Histogram entity | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define Histogram entity` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m02_completion_report.md | src/rietveld_next/core/model/ | src/rietveld_next/core/schema/ | schemas/project.schema.json,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core
20,Define Instrument entity,Core Data Model,Foundation,P0,core-data-model;foundation;p0;codex-ready;design,#1;#2,"Deliver a granular, testable increment for Core Data Model: Define Instrument entity.","Implement or specify `Define Instrument entity` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define Instrument entity | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define Instrument entity` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m02_completion_report.md | src/rietveld_next/core/model/ | src/rietveld_next/core/schema/ | schemas/project.schema.json,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core
21,Define DetectorBank entity,Core Data Model,Foundation,P0,core-data-model;foundation;p0;codex-ready;design,#1;#2,"Deliver a granular, testable increment for Core Data Model: Define DetectorBank entity.","Implement or specify `Define DetectorBank entity` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define DetectorBank entity | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define DetectorBank entity` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m02_completion_report.md | src/rietveld_next/core/model/ | src/rietveld_next/core/schema/ | schemas/project.schema.json,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core
22,Define Phase entity,Core Data Model,Foundation,P0,core-data-model;foundation;p0;codex-ready;design,#1;#2,"Deliver a granular, testable increment for Core Data Model: Define Phase entity.","Implement or specify `Define Phase entity` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define Phase entity | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define Phase entity` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m02_completion_report.md | src/rietveld_next/core/model/ | src/rietveld_next/core/schema/ | schemas/project.schema.json,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core
23,Define CrystalStructure entity,Core Data Model,Foundation,P0,core-data-model;foundation;p0;codex-ready;design,#1;#2,"Deliver a granular, testable increment for Core Data Model: Define CrystalStructure entity.","Implement or specify `Define CrystalStructure entity` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define CrystalStructure entity | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define CrystalStructure entity` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m02_completion_report.md | src/rietveld_next/core/model/ | src/rietveld_next/core/schema/ | schemas/project.schema.json,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core
24,Define MagneticStructure entity,Core Data Model,Foundation,P0,core-data-model;foundation;p0;codex-ready;design,#1;#2,"Deliver a granular, testable increment for Core Data Model: Define MagneticStructure entity.","Implement or specify `Define MagneticStructure entity` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define MagneticStructure entity | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define MagneticStructure entity` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m02_completion_report.md | src/rietveld_next/core/model/ | src/rietveld_next/core/schema/ | schemas/project.schema.json,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core
25,Define RefinementParameter entity,Core Data Model,Foundation,P0,core-data-model;foundation;p0;codex-ready;design,#1;#2,"Deliver a granular, testable increment for Core Data Model: Define RefinementParameter entity.","Implement or specify `Define RefinementParameter entity` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define RefinementParameter entity | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define RefinementParameter entity` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m02_completion_report.md | src/rietveld_next/core/model/ | src/rietveld_next/core/schema/ | schemas/project.schema.json,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core
26,Define Constraint entity,Core Data Model,Foundation,P0,core-data-model;foundation;p0;codex-ready;design,#1;#2,"Deliver a granular, testable increment for Core Data Model: Define Constraint entity.","Implement or specify `Define Constraint entity` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define Constraint entity | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define Constraint entity` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m02_completion_report.md | src/rietveld_next/core/model/ | src/rietveld_next/core/schema/ | schemas/project.schema.json,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core
27,Define OptimizationStrategy entity,Core Data Model,Foundation,P0,core-data-model;foundation;p0;codex-ready;design,#1;#2,"Deliver a granular, testable increment for Core Data Model: Define OptimizationStrategy entity.","Implement or specify `Define OptimizationStrategy entity` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define OptimizationStrategy entity | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define OptimizationStrategy entity` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m02_completion_report.md | src/rietveld_next/core/model/ | src/rietveld_next/core/schema/ | schemas/project.schema.json,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core
28,Define SequentialStudy entity,Core Data Model,Foundation,P0,core-data-model;foundation;p0;codex-ready;design,#1;#2,"Deliver a granular, testable increment for Core Data Model: Define SequentialStudy entity.","Implement or specify `Define SequentialStudy entity` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define SequentialStudy entity | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define SequentialStudy entity` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-12,Codex batch closure audit,docs/m02_completion_report.md | src/rietveld_next/core/model/ | src/rietveld_next/core/schema/ | schemas/project.schema.json,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core
