id,title,phase,priority,issue_numbers,issue_count,dependencies,scope,deliverables,acceptance_criteria,definition_of_done,status,closed_at,closed_by,closure_evidence,closure_validation
M11,M11 Optimizer safeguard heuristics,Optimization,P1,82;83,2,M08;M10,Implement parameter-freezing and overparameterization diagnostics that protect autonomous workflows from nonphysical or underdetermined refinements.,parameter-freezing heuristics;overparameterization detector,Highly correlated or unstable parameters are flagged with explanations.;Heuristics produce recommendations rather than silently changing the model.;Diagnostics are covered by synthetic pathological cases.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,,
M12,M12 Structural IO and symmetry baseline,Physics calculation,P0,86;87;88;89,4,M02,"Implement CIF ingestion, validation reporting, space-group lookup, and reflection generation.",CIF import v0;CIF validation report;space-group lookup service;reflection generation service,Representative CIFs import successfully.;Validation reports identify missing/ambiguous crystallographic fields.;Reflection generation matches reference cases for simple space groups.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex batch closure audit,docs/structural_io.md | src/rietveld_next/structure/,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/structure -p test*.py
M13,M13 Scattering factors and basic corrections,Physics calculation,P0,90;91;92;93,4,M12,Implement scattering tables and first-pass diffraction corrections needed by X-ray and neutron calculations.,X-ray form factor table;neutron scattering length table;multiplicity calculation;Lorentz-polarization correction,Scattering tables include citation/provenance metadata.;Multiplicity and Lorentz-polarization tests match reference calculations.;X-ray and neutron scattering lookup APIs are radiation-specific.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex batch closure audit,docs/numerical_kernels.md | src/rietveld_next/diffraction/ | src/rietveld_next/neutron/,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
M14,"M14 Orientation, microstructure, and background models",Physics calculation,P1,94;95;96;97;98,5,M06;M13,"Implement first-generation preferred-orientation, size/strain broadening, and polynomial/Chebyshev background models.",preferred orientation model v0;isotropic size broadening;isotropic strain broadening;polynomial background model;Chebyshev background model,Each model has parameter bounds and validation rules.;Background models can be refined independently from phase/profile parameters.;Size and strain contributions are separately testable on synthetic patterns.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,docs/nonblocking_batch_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
M15,"M15 Synthetic patterns, phase scales, and structural validation",Physics calculation,P1,99;100;101;102;103;104;105,7,M12;M13;M14,Create end-to-end synthetic pattern generation and phase quantification support with structural validation checks.,reflection tick generation;synthetic pattern generator;standard reference dataset registry;phase scale model;phase fraction calculation;occupancy constraints;ADP validation checks,Synthetic patterns include phase ticks and metadata.;Phase fraction calculation documents assumptions and normalization.;Occupancy and ADP validation produce structured warnings.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex physics batch prompt execution,docs/m15_completion_report.md | src/rietveld_next/diffraction/models.py,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
M16,M16 Lab and synchrotron CW X-ray instrument baseline,Physics calculation,P1,106;107;108;109;115,5,M13;M15,Implement lab and synchrotron CW X-ray instrument models and basic calibration/metadata validation workflows.,lab CW XRD instrument model;synchrotron CW XRD instrument model;wavelength metadata validation;zero-shift calibration workflow;beamline metadata template,Instrument models distinguish lab and synchrotron metadata.;Zero-shift calibration is reproducible on a synthetic/reference case.;Missing wavelength or beamline metadata produces actionable validation messages.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,docs/xray_neutron_physics.md;src/rietveld_next/xray/;src/rietveld_next/xray/tests/,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next -p 'test_*.py'
M17,M17 Fundamental-parameters and detector hook foundation,Physics calculation,P2,110;111;112;113;114,5,M16,"Create extensible APIs for fundamental-parameters, emission spectra, axial divergence, detector resolution, and 2D integration metadata links.",fundamental-parameters API skeleton;emission spectrum model skeleton;axial divergence hook;detector resolution hook;2D integration metadata link,Hooks are registered through the plugin/capability system.;Skeleton implementations are documented as incomplete physics models.;Tests verify that instrument hooks compose with the profile evaluation path.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,docs/xray_neutron_physics.md;src/rietveld_next/xray/fundamental_parameters.py;src/rietveld_next/xray/tests/test_fundamental_parameters.py,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next -p 'test_*.py'
M18,M18 CW neutron instrument and correction physics,Physics calculation,P1,116;117;118;119;120,5,M13;M15,"Implement CW neutron instrument modeling, isotope scattering lookup, absorption hooks, sample geometry corrections, and extinction interfaces.",CW neutron instrument model;isotope scattering-length lookup;wavelength-dependent absorption hooks;sample geometry correction interface;extinction correction interface,Neutron instrument models use neutron scattering lengths rather than X-ray form factors.;Absorption/extinction interfaces can be attached without changing core profile kernels.;Reference neutron calculations pass baseline validation.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,docs/xray_neutron_physics.md;src/rietveld_next/neutron/;src/rietveld_next/neutron/tests/,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next -p 'test_*.py'
M19,M19 Neutron data integration and joint weighting,Physics calculation,P1,121;122;123;124;125,5,M18,"Implement neutron-specific background, joint weighting, Mantid import, and uncertainty checks.",container background model;neutron joint weighting model;nuclear neutron validation example;Mantid reduced-data import adapter;neutron uncertainty model checks,Mantid reduced-data import handles at least one documented example shape.;Joint weighting records likelihood/weighting assumptions.;Validation example can be run from documentation.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,docs/xray_neutron_physics.md;src/rietveld_next/neutron/;src/rietveld_next/neutron/tests/test_m19_data_integration.py,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next -p 'test_*.py'
M20,"M20 TOF data model, calibration, and masks",Physics calculation,P1,126;127;128;129;140,5,M18,"Implement TOF histogram axis, detector bank model, calibration parameter set, DIFC/DIFA/zero peak positions, and bank masks.",TOF histogram axis model;TOF detector bank entity;TOF calibration parameter set;DIFC-DIFA-zero peak position model;TOF bank mask handling,Multi-bank projects can represent independent bank calibration parameters.;Peak-position tests cover at least two banks.;Bank masks propagate into residual calculation.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,docs/tof_refinement_guide.md;src/rietveld_next/tof/;src/rietveld_next/tof/tests/,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next -p 'test_*.py'
M21,M21 TOF bank profile and multi-bank objective,Physics calculation,P1,130;131;132;133;134,5,M20;M06,"Implement bank-specific backgrounds, profile parameters, back-to-back exponential profiles, TOF windowing, and multi-bank objective assembly.",bank-specific background model;bank-specific profile parameter model;back-to-back exponential profile;TOF reflection windowing;multi-bank objective assembly,Each bank can refine local profile/background parameters while sharing phase parameters.;Back-to-back exponential tests verify asymmetry and normalization behavior.;Multi-bank objective returns labeled residual blocks.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",,,,,
M22,M22 TOF validation diagnostics and workflow specs,Physics calculation,P2,135;136;137;138;139,5,M20;M21,"Add TOF benchmarks, calibration workflow specification, diagnostics, event-mode provenance placeholder, and GSAS-II comparison fixture.",TOF synthetic benchmark;TOF calibration wizard spec;TOF diagnostic plot data;event-mode provenance placeholder;GSAS-II TOF comparison fixture,TOF benchmark is reproducible and not run in expensive mode by default.;Calibration wizard spec maps GUI steps to API calls.;Comparison fixture documents expected tolerances and limitations.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",,,,,
M23,M23 Magnetic entities and magnetic scattering foundation,Physics calculation,P1,141;142;143,3,M13;M18,"Introduce magnetic moment, propagation-vector, and magnetic form-factor entities.",magnetic moment entity;propagation vector entity;magnetic form-factor table,Magnetic entities are serializable in the core model.;Magnetic form-factor lookup includes provenance metadata.;Basic validation catches invalid moment definitions.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,docs/magnetic_refinement_guide.md;src/rietveld_next/neutron/magnetic/form_factors.py;src/rietveld_next/neutron/magnetic/tests/test_form_factors.py,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next -p 'test_*.py'
M24,M24 Magnetic symmetry and import foundation,Physics calculation,P2,144;145;146,3,M23,"Create mCIF import skeleton, magnetic symmetry constraint API, and representation-analysis import placeholder.",mCIF import skeleton;magnetic symmetry constraint API;representation-analysis import placeholder,mCIF import clearly reports supported and unsupported fields.;Magnetic symmetry constraints are represented in the parameter graph.;Representation-analysis placeholder includes documented extension contract.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",,,,,
M25,M25 Magnetic joint-refinement validation and recipes,Physics calculation,P2,147;148;149;150;151;152,6,M23;M24;M19,"Implement nuclear-plus-magnetic coupling, magnetic reflection handling, validation, reports, and refinement recipes.",nuclear-plus-magnetic phase coupling;magnetic reflection flagging;moment magnitude validation;tutorial dataset stub;magnetic report section generator;magnetic parameter group recipes,Magnetic and nuclear contributions can be toggled and reported separately.;Moment magnitude validation produces scientific warnings.;Recipe docs explain safe staged magnetic refinement.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",,,,,
M26,M26 EDXRD axis and calibration foundation,Physics calculation,P2,153;154;155;164;166,5,M13;M15,"Implement energy-axis histograms, channel-to-energy calibration, fixed-angle Bragg conversion, EDXRD calibration workflow, and import template.",energy-axis histogram model;channel-to-energy calibration polynomial;fixed-angle Bragg conversion;EDXRD calibration workflow;EDXRD import template,Energy-axis data can be represented without lossy conversion to 2theta.;Calibration workflow stores coefficients and provenance.;Fixed-angle conversion tests cover known standards.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,docs/edxrd_guide.md;src/rietveld_next/edxrd/;src/rietveld_next/edxrd/tests/,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next -p 'test_*.py'
M27,M27 EDXRD detector response and correction hooks,Physics calculation,P2,156;157;158;159;160,5,M26;M06,"Implement the EDXRD detector response API, Gaussian response kernel, tail/escape hooks, and dead-time metadata.",detector response API;Gaussian detector response kernel;low-energy tail response hook;escape peak correction hook;dead-time correction metadata,Detector response kernels are separable from crystallographic peak generation.;Correction hooks are optional and provenance-recorded.;Tests document current physical limitations.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,docs/edxrd_guide.md;src/rietveld_next/edxrd/response.py;src/rietveld_next/edxrd/tests/test_response.py,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next -p 'test_*.py'
M28,M28 EDXRD high-pressure validation and documentation,Physics calculation,P2,161;162;163;165;167,5,M26;M27,"Add high-pressure entities, equation-of-state hook, synthetic benchmark, residual diagnostics, and user documentation example.",high-pressure marker entity;equation-of-state hook;EDXRD synthetic benchmark;EDXRD residual diagnostics;EDXRD documentation example,High-pressure marker metadata is represented in the project model.;EDXRD benchmark writes reproducible results.;Documentation walks through calibration and refinement assumptions.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex M28 EDXRD high-pressure agent,src/rietveld_next/edxrd/high_pressure.py | src/rietveld_next/edxrd/diagnostics.py | src/rietveld_next/edxrd/synthetic_benchmark.py | src/rietveld_next/edxrd/tests/test_high_pressure.py | src/rietveld_next/edxrd/tests/test_diagnostics.py | src/rietveld_next/edxrd/tests/test_synthetic_benchmark.py | docs/edxrd_guide.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next/edxrd -p 'test_*.py'
M29,M29 Sequential and parametric workflow foundation,Workflow,P1,168;169;170;171;172;173;174;175;176;177;178;179;180;181;182,15,M15;M08,"Implement sequential/parametric study execution, parameter evolution tables, and recipe plumbing.",sequential runner;parametric model API;batch recipe integration;study result tables;workflow validation examples,"Sequential studies run deterministically on synthetic series.;Parameter evolution tables include units, uncertainties, and provenance.;Workflow recipes are scriptable and replayable.","All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-11,Batch E subagent execution,docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
M30,M30 AI tool-grounded refinement foundation,AI,P1,183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202,20,M08;M11;M29,"Implement deterministic tool contracts, agent diagnostics, rollback-aware planning, and AI evaluation scaffolding.",AI tool schemas;diagnostic tools;agent action logs;strategy rules;AI evaluation tasks,Every AI action maps to a deterministic tool call.;Agent logs are replayable without the LLM.;Safety tests cover nonphysical and overfitting scenarios.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-11,Batch E subagent execution,docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
M31,M31 Desktop and web UX foundation,UX,P1,203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222,20,M01;M02;M08,"Build the first desktop/web user experience for import, visualization, parameter editing, guided workflows, and reports.",desktop shell;web app skeleton;pattern viewer;parameter table;guided workflow screens;report export,Core workflows are accessible from GUI and script API.;GUI actions emit provenance events.;UX tests cover import-through-simple-refinement path.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-11,Batch E subagent execution,docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
M32,M32 Visualization and diagnostics foundation,UX,P1,223;224;225;226;227;228;229;230;231;232,10,M07;M29,"Implement core visual diagnostics for profiles, correlations, residuals, sequential studies, and parameter graphs.",profile plots;correlation heatmap;residual diagnostics;parameter graph visualization;sequential dashboards,"Visual data payloads are testable without rendering.;Plots distinguish observed, calculated, difference, and phase ticks.;Correlation and residual warnings are linked to parameters.","All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-11,Batch E subagent execution,docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
